,County,County Code,Deaths sum,summed_crude_rate,summed_adjusted_rate
916,"Loudoun County, VA",51107,11.0,2.6599732068153354,
917,"Prince William County, VA",51153,13.0,2.76398737070386,
918,"Chesapeake city, VA",51550,26.0,10.619396736577695,10.31884768873573
919,"Hampton city, VA",51650,10.0,7.43439149505613,
920,"Newport News city, VA",51700,12.0,6.695494490165993,
921,"Norfolk city, VA",51710,17.0,7.003320397788598,
923,"Virginia Beach city, VA",51810,42.0,9.333872623751594,9.06332509934036
925,"Benton County, WA",53005,25.0,12.23151817603601,
926,"Clallam County, WA",53009,10.0,12.931424655054247,
928,"Clark County, WA",53011,57.0,11.674562357524255,11.320788078015347
929,"Cowlitz County, WA",53015,11.0,9.946379969799173,
938,"King County, WA",53033,297.0,13.183699088504792,
940,"Kitsap County, WA",53035,34.0,12.524265764919532,11.711001463364596
944,"Pierce County, WA",53053,141.0,15.580454816681033,
948,"Snohomish County, WA",53061,87.0,10.582873018904419,
951,"Spokane County, WA",53063,63.0,12.050543422124798,
952,"Thurston County, WA",53067,17.0,5.851254233554534,
954,"Whatcom County, WA",53073,33.0,14.39495391433694,13.34532071407505
955,"Yakima County, WA",53077,10.0,3.9860806065220253,
956,"Berkeley County, WV",54003,13.0,10.908694229300751,
957,"Raleigh County, WV",54081,10.0,13.631220948460355,
959,"Brown County, WI",55009,32.0,12.096377890845309,
961,"Dane County, WI",55025,34.0,6.219189859062183,
962,"Eau Claire County, WI",55035,10.0,9.556026986220209,
963,"Kenosha County, WI",55059,14.0,8.256615613260124,
964,"Manitowoc County, WI",55071,10.0,12.661272964383839,
966,"Milwaukee County, WI",55079,75.0,7.930415363435076,7.721720545711241
967,"Racine County, WI",55101,16.0,8.150332890158984,
968,"Waukesha County, WI",55133,19.0,4.700666505029713,
969,"Laramie County, WY",56021,16.0,16.08040201005025,
970,"Natrona County, WY",56025,19.0,23.79223121039846,
971,"Sweetwater County, WY",56037,11.0,25.978319911201382,
